date,cash,holdings,total_value,daily_return,cumulative_return
2018-12-03,248.7663906365051,252135.24241256714,252384.00880320364,0.01211441129150237,1.5238400880320366
2018-12-04,248.7663906365051,247392.8759613037,247641.64235194022,-0.0187902810235544,1.4764164235194022
2018-12-06,248.7663906365051,247732.36547851562,247981.13186915213,0.0013708902670312995,1.4798113186915214
2018-12-07,248.7663906365051,242787.06972885132,243035.83611948782,-0.019942225895935084,1.430358361194878
2018-12-10,248.7663906365051,245029.5092124939,245278.2756031304,0.009226785314656594,1.4527827560313038
2018-12-11,248.7663906365051,246127.69534301758,246376.46173365408,0.004477306960118277,1.4637646173365408
2018-12-12,248.7663906365051,247031.42903518677,247280.19542582327,0.0036681007828831547,1.472801954258233
2018-12-13,248.7663906365051,249007.66230773926,249256.42869837576,0.007991878480803294,1.4925642869837574
2018-12-14,248.7663906365051,242583.48280334473,242832.24919398123,-0.025773375386712316,1.4283224919398125
2018-12-17,248.7663906365051,235930.5763092041,236179.3426998406,-0.027397129154892785,1.361793426998406
2018-12-18,248.7663906365051,235042.67251586914,235291.43890650565,-0.003759447304684027,1.3529143890650563
2018-12-19,248.7663906365051,231986.8896560669,232235.6560467034,-0.012987225009136294,1.3223565604670342
2018-12-20,248.7663906365051,229263.56219100952,229512.32858164603,-0.011726569086831784,1.29512328581646
2018-12-21,248.7663906365051,227836.5392074585,228085.305598095,-0.006217631063088591,1.2808530559809501
2018-12-24,248.7663906365051,220165.797290802,220414.5636814385,-0.03363102193954126,1.2041456368143852
2018-12-26,248.7663906365051,229774.97247314453,230023.73886378104,0.043595917719078336,1.3002373886378105
2018-12-27,248.7663906365051,231208.47831344604,231457.24470408255,0.006231990869213888,1.3145724470408253
2018-12-28,248.7663906365051,233001.7116203308,233250.47801096732,0.007747579079572242,1.332504780109673
2018-12-31,248.7663906365051,235566.62491226196,235815.39130289847,0.010996390291686975,1.3581539130289846
2019-01-02,146.79542154243973,231892.27095413208,232039.0663756745,-0.01601390353004306,1.3203906637567449
2019-01-03,146.79542154243973,225466.69042396545,225613.48584550788,-0.02769180479188582,1.2561348584550789
2019-01-04,146.79542154243973,231201.89859771729,231348.6940192597,0.025420502468008976,1.3134869401925973
2019-01-07,146.79542154243973,233602.52248382568,233749.3179053681,0.0103766476672158,1.337493179053681
2019-01-08,146.79542154243973,234237.08750343323,234383.88292497565,0.002714724583129824,1.3438388292497567
2019-01-09,146.79542154243973,234063.14833068848,234209.9437522309,-0.0007421123439635968,1.3420994375223092
2019-01-10,146.79542154243973,234767.43215560913,234914.22757715156,0.0030070620129849512,1.3491422757715155
2019-01-11,146.79542154243973,235688.0623626709,235834.85778421332,0.003919005743317161,1.3583485778421331
2019-01-14,146.79542154243973,232706.51831626892,232853.31373781135,-0.012642507873581899,1.3285331373781135
2019-01-15,146.79542154243973,236458.6191520691,236605.41457361152,0.016113581445634795,1.3660541457361153
2019-01-16,146.79542154243973,235232.81065177917,235379.6060733216,-0.005180813391354344,1.3537960607332158
2019-01-17,146.79542154243973,237502.21937561035,237649.01479715278,0.009641484076255313,1.376490147971528
2019-01-18,146.79542154243973,236014.72898864746,236161.5244101899,-0.006259190210540333,1.3616152441018987
2019-01-22,146.79542154243973,235432.16027259827,235578.9556941407,-0.002466823152095343,1.355789556941407
2019-01-23,146.79542154243973,236054.92048454285,236201.71590608527,0.0026435307436931677,1.3620171590608527
2019-01-24,146.79542154243973,234736.89761543274,234883.69303697516,-0.005580073218579673,1.3488369303697518
2019-01-25,146.79542154243973,233040.7507610321,233187.54618257453,-0.007221220138656559,1.3318754618257453
2019-01-28,146.79542154243973,231225.81818389893,231372.61360544135,-0.0077831453988206345,1.3137261360544135
2019-01-29,146.79542154243973,231564.43861961365,231711.23404115607,0.001463528593285357,1.3171123404115606
2019-01-30,146.79542154243973,234149.05363845825,234295.84906000068,0.011154465727740703,1.3429584906000067
2019-01-31,146.79542154243973,235950.77331352234,236097.56873506476,0.007689934253178654,1.3609756873506478
2019-02-01,134.54452592790403,236438.9146232605,236573.4591491884,0.0020156514811791038,1.3657345914918837
2019-02-04,134.54452592790403,238393.25159835815,238527.79612428605,0.008261015340124134,1.3852779612428603
2019-02-05,134.54452592790403,238408.90817070007,238543.45269662797,6.56383557653406e-05,1.3854345269662796
2019-02-06,134.54452592790403,238328.21120262146,238462.75572854935,-0.00033829043374011825,1.3846275572854934
2019-02-07,134.54452592790403,234370.0439453125,234504.5884712404,-0.016598681186988706,1.345045884712404
2019-02-08,134.54452592790403,236849.08094596863,236983.62547189652,0.010571379506120637,1.3698362547189653
2019-02-11,134.54452592790403,237512.36931991577,237646.91384584366,0.002798878498994961,1.3764691384584364
2019-02-12,134.54452592790403,240205.99950408936,240340.54403001725,0.011334589372874682,1.4034054403001726
2019-02-13,134.54452592790403,239546.81949424744,239681.36402017533,-0.002742691677354192,1.3968136402017532
2019-02-14,134.54452592790403,240497.34397506714,240631.88850099503,0.003965783842667436,1.4063188850099504
2019-02-15,134.54452592790403,241959.45126533508,242093.99579126298,0.006076116093241213,1.4209399579126298
2019-02-19,134.54452592790403,242759.0084323883,242893.5529583162,0.003302672436959586,1.4289355295831618
2019-02-20,134.54452592790403,242558.00587272644,242692.55039865433,-0.0008275335315152121,1.4269255039865434
2019-02-21,134.54452592790403,241476.1356601715,241610.6801860994,-0.004457780886878537,1.4161068018609941
2019-02-22,134.54452592790403,243839.3264465332,243973.8709724611,0.00978098643876768,1.4397387097246108
2019-02-25,134.54452592790403,245095.01183319092,245229.5563591188,0.005146802736099021,1.4522955635911883
2019-02-26,134.54452592790403,245213.8150215149,245348.3595474428,0.0004844570535780246,1.4534835954744278
2019-02-27,134.54452592790403,244231.04522323608,244365.58974916398,-0.004005609819815237,1.4436558974916398
2019-02-28,134.54452592790403,244193.6491508484,244328.19367677628,-0.00015303329910765218,1.4432819367677627
2019-03-01,417.84088129511815,244964.95331573486,245382.79419703,0.004316327577196688,1.4538279419703
2019-03-04,417.84088129511815,243640.93184280396,244058.77272409908,-0.0053957388384280325,1.4405877272409908
2019-03-05,417.84088129511815,242942.75148391724,243360.59236521236,-0.0028607058500453864,1.4336059236521237
2019-03-06,417.84088129511815,240068.64904403687,240486.489925332,-0.011810056886972009,1.4048648992533197
2019-03-07,417.84088129511815,238761.9063987732,239179.74728006832,-0.005433746592872657,1.391797472800683
2019-03-08,417.84088129511815,238314.0294189453,238731.87030024044,-0.0018725539470674235,1.3873187030024043
2019-03-11,417.84088129511815,241719.30480575562,242137.14568705074,0.014264016708484206,1.4213714568705074
2019-03-12,417.84088129511815,241959.71629714966,242377.55717844478,0.000992873235999836,1.4237755717844478
2019-03-13,417.84088129511815,244331.9397506714,244749.7806319665,0.009787306552377029,1.447497806319665
2019-03-14,417.84088129511815,244920.0791015625,245337.91998285762,0.0024030229950462445,1.4533791998285763
2019-03-15,417.84088129511815,247538.8095855713,247956.6504668664,0.010673973612361998,1.4795665046686644
2019-03-18,417.84088129511815,248326.21309280396,248744.05397409908,0.0031755692204669117,1.4874405397409909
2019-03-19,417.84088129511815,249614.65273666382,250032.49361795894,0.0051797806752560405,1.5003249361795894
